skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Fire Trauma	251	ass	fire trauma		43					par1+blvl/par2							bomb in air								(par1+blvl/par2)/2+1																																																								weapon_throw_1											5					bomb in air												1	0		rng												S2	S2	S2				1																						1	20													1						1	5	16	1	1																		1	# missiles	4	levels per missile											12	damage synergy	1								7															fire	4	2	4	8	18	18	6	3	5	10	20	20	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl) + skill('Chain Lightning Sentry'.blvl)  + skill('Wake of Fire Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8						5		256	5000
Claw Mastery	252	ass	claw mastery																																											clawmastery	asm	passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56																																																								1	0		none		asm										SC	SC	SC				1																						1	20																			0	8	0	0	1						1												30	Attack rating bonus percent	10	Percent attack rating per level	35	% damage percent	10	damage % per level	0	critical%	25	critical%					1								8																																		10		256	5000
Psychic Hammer	253	ass	psychic hammer		26												psychichammer	psychichammer	psychichammer						par1																																																				assassin_psychichammer											psychic_hammer_curse				27					psychichammer	psychichammer	psychichammer										1	0		rng												SC	SC	SC				1													1			4						1	20													1						1	6	6	1	1										"min(2+(lvl/10), 3)"	# hits	20	dmg reduction per hit					5	radius of jump to next target													15	damage synergy	1				9				8															mag	4	3	6	12	24	36	6	4	8	14	26	38	stat('passive_mag_mastery'.accr) + (skill('Cloak of Shadows'.blvl)+skill('Mind Blast'.blvl)+skill('Shadow Warrior'.blvl))*par8						5		256	5000
Tiger Strike	254	ass	tiger strike	23	170								1									progressive_damage		par3		progressive_damage		progressive_tohit	par4	inc_splash_radius	20																																																					assassinfootimpact		tigerstrike1	assassin_chargeup_tiger_1						12	12	12														1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1											1	20													1						1	8	1	0	1							1			ln12	progressive damage							50	% Damage bonus	25	% damage per level	1500	duration	50	tohit bonus for each charge-up									1	25	10						8	128																																	4		256	5000
Dragon Talon	255	ass	dragon talon	24	42																																																																								assassin_kick_1														6	4																	1	0		h2h	4											KK	KK	A1	19					1	1								1											1	20													1						1	8	6	0	1					1					"min(lvl/6+1, 3)"	number of kicks	ln12 + (skill('Dragon Tail'.blvl)+ skill('Dragon Flight'.blvl))*par8	%ed					25	Percent damage	20	percent damage per level	25	min knockback% vs. unique	50	max knockback% vs. unique	25	min knockback% vs. boss	99	max knockback% vs. boss			10	damage synergy	1	20	15					1	8																																		4		256	5000
Shock Field	256	ass	shock field		43					par1+lvl/par2							shock field in air								(par1+lvl/par2)/3+1																																																								weapon_throw_1											5					shock field in air												1	0		rng												S2	S2	S2				1																						6	20					Fire Trauma							25	1						1	8	6	0	1																		4	Number of missiles	3	Levels per missile											12	damage synergy	1								4															ltng	1	0	0	0	0	0	5	4	8	14	20	26	(skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl)+skill('Death Sentry'.blvl)+skill('Chain Lightning Sentry'.blvl)+skill('Wake Of Fire Sentry'.blvl)+skill('Inferno Sentry'.blvl))*par8						11		384	10000
Blade Sentinel	257	ass	blade sentinel		44												blade creeper																															tohit	lvl*5	passive_phys_pierce	stat('passive_phys_pierce'.accr) / 2									bladecreeper	bladesent	15	S1	Blade Sentinel	lvl												assassin_summon																																1	0		rng												S2	S2	S2				1																						6	20													1						1	8	7	0	1																50	duration		duration		duration per level	5	Total number assassin traps	3	Total number pet traps							12	damage synergy	1								8	96	1	1	2	4	6	8	3	1	2	4	6	8	(skill('Blade Fury'.blvl)+skill('Blade Shield'.blvl))*par8																				5	3	384	10000
Quickness	258	ass	quickness		18																	quickness		ln56		velocitypercent	edln	attackrate	((110*blvl) * (par4-par3))/(100 * (blvl+6)) + par3																																																assassin_quickness																																1	0		none												SC	SC	SC				1																						6	20					Claw Mastery														1	8	10	0	1	1																					15	min % increased attack speed	60	max % increased attack speed	3000	duration	300	duration per level					1								8																													10	2	2	1		1		384	10000
Fists of Fire	259	ass	fists of fire	23	170	1	143	38	39		par1	par2	4						fistsoffirefirewall			progressive_fire		par3		progressive_fire		progressive_tohit	par4																																																																	108	108			fistsoffireexplode	fistsoffirefirewall										1	0		h2h	3	asm										A1	A1	A2				1		1	1								1											6	20													1						1	8	2	0	1							1			lvl*3	convert to fire%							4	Radius of explosion	4	Radius of firewall fragments	375	duration	50	tohit bonus for each charge-up							18	damage synergy	1	35	10						8	128														fire	2	2	6	18	30	42	4	3	7	21	33	45	(skill('Royal Strike'.blvl)) * par8						4		384	10000
Dragon Claw	260	ass	dragon claw	25	46																																																																								assassin_kick_1																																1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1											6	20					Dragon Talon								1						1	8	2	0	1					1					ln12 + skill('Weapon Block'.blvl) * par8 + skill('Claw Mastery'.lvl) * par7	damage%							50	% Damage bonus	15	% damage per level									8	claw mastery synergy	8	weapon block synergy	1	40	20						8	128																																	4		384	10000
Charged Bolt Sentry	261	ass	charged bolt sentry		45																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr) / 2									chargeboltsentry	assassintrap	5	S1	BoltSentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Shock Field	skill('Shock Field'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4																					12	20					Shock Field														1	8	6	0	1														ln34 + blvl/3	# bolts	par1 + skill('Charged Bolt Sentry'.blvl)/4	shots fired	8	Shots fired			5	Bolts to send out	0	Bolts to send out per level					6	damage synergy	6	damage synergy	1								7															ltng	2	0	0	0	0	0	16	7	9	12	14	16	(skill('Fire Trauma'.blvl) + skill('Chain Lightning Sentry'.blvl)) * par7 + (skill('Lightning Sentry'.blvl) + skill('Shock Field'.blvl)) * par8						3		512	20000
Wake of Fire Sentry	262	ass	wake of fire sentry		45																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2									wakeofdestruction	assassintrap	5	S1	Wake Of Destruction Sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)								assassin_summon																																1	0		rng												S2	S2	S2				1	4																					12	20					Fire Trauma														1	8	7	0	1																		8	Shots fired													8	damage synergy	1								8															fire	2	1	4	12	20	28	4	2	6	16	24	32	(skill('Fire Trauma'.blvl) + skill('Inferno Sentry'.blvl)) * par8						3		512	20000
Weapon Block	263	ass	weapon block																																											weaponblock	h2h	passive_weaponblock	dm12																																																												1	0		rng		h2h					h2h					SC	SC	SC				1																						12	20					Claw Mastery								1						0	8	0	0	1						1												8	min block %	50	max block %	20	base wep dmg	4	wep dmg per level									1								8																																		10		512	20000
Cloak of Shadows	264	ass	cloak of shadows		47																57347	cloak_of_shadows	cloaked	ln34	dm12	skill_armor_percent	"-min(ln56,95)"																					item_armor_percent	ln78																																										7																		1	0		none												SC	SC	SC				1																						12	20					Psychic Hammer														1	8	13	0	1																		30	min radius of effect	30	max radius of effect	125	duration	0	Duration per level	15	percent armor decrease	1	percent decrease per level	10	percent armor bonus	3	percent armor bonus per level	1								8																																		2		512	20000
Cobra Strike	265	ass	cobra strike	23	170	1	171		172	par5		64	2				cobrastrikepoisonbolt		cobrastrikepoisoncloud			progressive_steal		par3		progressive_steal		progressive_tohit	par4																																																									cobrastrike1	assassin_chargeup_cobra_1						106	13	107		cobrastrikepoisonbolt		cobrastrikepoisoncloud		par5	# missiles			64	# nova missiles			1	0		h2h		asm										A1	A1	A2				1		1	1								1											12	20					Tiger Strike								1						1	8	2	0	1							1			ln12	%lifesteal							40	Base percent life steal	5	Percent life steal per level	375	duration	50	tohit bonus for each charge-up	7	# of missiles							1	60	8						8	128														pois														25	0	0	0		12		512	20000
Blade Fury	266	ass	blade fury	26	48					par4							bladefragment1																																																																										8	6					bladefragment2												1	0		rng												SQ	A1	SC	23	12		1																						18	20					Blade Sentinel								1	1			1	6	0	5	8	1	1																		0	"Don't Use, missile range mod"	0	"Don't Use, missile range mod"	3	Min Mana to start casting	4	Frame delay between blades							8	damage synergy	1	60	12						8	64	3	1	2	3	4	5	6	2	3	4	5	6	(skill('Blade Sentinel'.blvl)+skill('Blade Shield'.blvl))*par8																				5		384	10000
Fade	267	ass	fade		18																	fade		ln56		fireresist	dm12	coldresist	dm12	lightresist	dm12	poisonresist	dm12	curse_resistance	"min(ln34, 20)"	damageresist	ln78 / 2											fade	2																												assassin_fade																																1	0		none												SC	SC	SC				1													1									18	20					Quickness														1	8	10	0	1	1																	10	min Elemental resistance	75	max elemental resist	5	min curse length reduction	1	max curse length reduction	3000	duration	300	Duration per level	1	damage resist %	1	damage resist % per level	1								8																																		1		640	40000
Shadow Warrior	268	ass	shadow warrior		49																	shadowwarrior				tohit	lvl*par2	skill_armor_percent	lvl*par3	strength	lvl*10	dexterity	lvl*10															fireresist	"min(lvl*4,75)"	coldresist	"min(lvl*4,75)"	lightresist	"min(lvl*4,75)"	poisonresist	"min(lvl*4,75)"					shadowwarrior	shadowwarrior	1	NU														assassin_summon																																1	0		none												SC	SC	SC				1	4																					18	20					Cloak of Shadows	Weapon Block						150							1	7	54	1	1	1																	15	Plus % HP per level	40	plus to hit per level	12	Plus % AC per level	0	?	18	base item quality level	2	item quality per level					1								8																																		3		640	40000
Claws of Thunder	269	ass	claws of thunder	23	170	1		36	37			par1	4					clawsofthundernova	clawsofthunderbolt			progressive_lightning		par3		progressive_lightning		progressive_tohit	par4																																																																	10	11			clawsofthundernova	clawsofthunderbolt										1	0		h2h	3	asm										A1	A1	A2				1		1	1								1											18	20					Fists of Fire								1						1	8	4	0	1							1											4	skip			375	duration	50	tohit bonus for each charge-up							16	damage synergy	1	80	6						8	128														ltng	1	0	0	0	0	0	80	20	40	60	80	100	(skill('Royal Strike'.blvl)) * par8						4		640	40000
Dragon Tail	270	ass	dragon tail	27	50												dragontail missile								par3																																																				assassin_kick_1														9	7					dragontail missile												1	0		h2h	4											KK	KK	A1				1		1	1								1											18	20					Dragon Claw								1						1	8	10	0	1					1					ln12 + (skill('Dragon Talon'.blvl)+ skill('Dragon Flight'.blvl))*par8	damage%							50	Percent area damage min	15	percent area damage per level	6	Radius	-20	Attack rate penalty							10	damage synergy	1	210	10					1	8															fire																			4		640	40000
Chain Lightning Sentry	271	ass	chain lightning sentry		45																				par1																							passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr) / 2									chainlightningsentry	assassintrap	5	S1	Sentry Chain Lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)						assassin_summon																																1	0		rng												S2	S2	S2				1	4																					30	20					Lightning Sentry														1	8	20	0	1																		20	chain distance													14	damage synergy	1								8															ltng	1	0	0	0	0	0	50	8	12	17	23	30	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl) + skill('Lightning Sentry'.blvl))*par8						3		896	80000
Inferno Sentry	272	ass	inferno sentry		45																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2									infernosentry	assassintrap	5	S1	mon inferno sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)						assassin_summon																																1	0		rng												S2	S2	S2				1	4																					24	20					Wake of Fire Sentry														1	8	20	0	1																		10	Shots fired											6	synergy damage bonus	6	damage synergy	1								4															fire	40	32	38	44	50	56	100	36	42	48	54	60	(skill('Fire Trauma'.blvl) + skill('Death Sentry'.blvl)) * par7 + skill('Wake of Fire Sentry'.blvl)*par8						3		768	60000
Mind Blast	273	ass	mind blast		51																33667				"min(par7 + blvl / 2, 8)"																																																				assassin_psychichammer							fist_will_cast								8					mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1													1									18	20					Cloak of Shadows							"min(stat('pvp_cd'.accr), 6)"	1						1	8	9	0	1																		50	length of stun	0	additional lengh of stun	0	conversion length min	0	conversion length random range	0	chance for conversion	0	max chance for conversion	4	radius	13	damage synergy	1				5				8		10	3	7	17	34	51	20	3	7	17	34	51	(skill('Cloak of Shadows'.blvl)+skill('Psychic Hammer'.blvl)+skill('Shadow Warrior'.blvl))*par8	stun														100	0	0	0	blvl * -50	11		640	40000
Blades of Ice	274	ass	blades of ice	23	170	1		38	39		par1	par2	4						bladesoficecubes		34571	progressive_cold		par3	par7 + blvl / 4	progressive_cold		progressive_tohit	par4																																																																	108	108			bladesoficeexplode	bladesoficecubes										1	0		h2h	3	asm										A1	A1	A2				1		1	1								1											24	20					Claws of Thunder								1						1	8	3	0	1							1											6	Second level radius	3	Third level radius	375	duration	50	tohit bonus for each charge-up	1	freeze length divisor					20	damage synergy	1	160	4						8	128														cold	15	8	12	27	43	58	35	10	14	29	44	59	(skill('Royal Strike'.blvl)) * par8	100	10	10	10		4		768	60000
Dragon Flight	275	ass	dragon flight	12	178																				par7																																																			1	sorceress_teleport							dragonflight							5																1		1	0		rng	4											KK	KK	A1				1				1							1											24	20					Dragon Tail							50	1						1	8	15	0	1					1							ln12	%ed					100	% Damage bonus	25	% damage per level									40	range			1	180	10					1	8																																		13		768	60000
Death Sentry	276	ass	death sentry		45																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2									deathsentry	assassintrap	5	S1	mon death sentry	lvl			Fire Trauma	skill('Fire Trauma'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)				assassin_summon																																1	0		rng												S2	S2	S2				1	4																					30	20					Lightning Sentry	Inferno Sentry													1	8	20	0	1																		5	Shots fired													6	damage synergy	1								8		16	1	3	5	7	9	20	2	4	6	8	10	(skill('Charged Bolt Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8	fire	16	1	3	5	7	9	20	2	4	6	8	10	(skill('Charged Bolt Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * par8						3		896	80000
Blade Shield	277	ass	blade shield	28	54					par4							blade shield attachment				33667	bladeshield		ln12	par4																																																				assassin_bladeshield																																1	0		none												SC	SC	SC				1																						24	20					Blade Fury														1	8	27	2	1	1		1	par3														7500	duration	0	duration per level	12	delay	4	radius to attack in							8	damage synergy	1				33		3		8	32	1	5	7	10	13	16	30	5	7	10	13	16	(skill('Blade Sentinel'.blvl)+skill('Blade Fury'.blvl))*par8																				1		768	60000
Venom	278	ass	venom		18																	venomclaws		ln12		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																														assassin_venom																																1	0		none												SC	SC	SC				1													1									30	20					Fade														1	8	12	0	1	1																	7500	duration	125	duration per level	0	?	0	?	0	?	0	?			6	damage synergy	1								6															pois	24	6	8	10	13	17	32	6	8	10	13	17	(skill('Cobra Strike'.blvl)) * par8	10					1		896	80000
Shadow Master	279	ass	shadow master		49																	shadowwarrior				tohit	lvl*par2	strength	lvl*10	dexterity	lvl*10																	fireresist	dm34	coldresist	dm34	lightresist	dm34	poisonresist	dm34					shadowmaster	shadowwarrior	1	NU														assassin_summon																																1	0		none												SC	SC	SC				1																						30	20					Shadow Warrior							150							1	7	70	1	1	1																	15	Pluse % HP per level	40	plus to hit per level	5	Min % resist all	90	Max % resist all	24	base item quality level	3	item quality per level					1								8																																		3		896	80000
Royal Strike	280	ass	royal strike	23	170	1	40	143	41		par6	par5	3				royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice			progressive_other		375	par1	progressive_other		progressive_tohit	par7																																																																14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h		asm										A1	A1	A2				1		1	1								1											30	20					Cobra Strike	Blades of Ice							1						1	8	4	0	1							1			par2								8	radius of jump to next target	6	radius of meteor explosion	55	Frames of fire		Frames of fire per level	24	chaos ice bolts	10	chain lightning skip	25	to hit bonus per charge up			1	160	4						8	128																																	4	-3	896	80000
Wake Of Destruction Sentry	281				125												wake of destruction maker																																																																											70					wake of destruction maker												1	0		none												SQ	SQ	S2				1																						1																								1																par8	shots fired	6	Number of missiles	2	Number of missiles per level			2	Min Range							8	Shots Fired	1								8																																					0
Imp Inferno	282			59	126												impinfernoflame1																																																																											71					impinfernoflame1	impinfernoflame2			8	z offset	lvl-1	range					1	0		none												SQ	SQ	SC	6			1																						1																								1										"rand(par3,par4)"	len	lvl-1	range					30	base ranged (doubled)	3	level range (doubled)	100	min frames	120	max frames									1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15										0
Imp Fireball	283													impfireball		1																																																													sorceress_cast_fire											fire_cast_2				72					impfireball				40	z offset							1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8																																					0
Baal Taunt	284				28												baal taunt control																																																																						monster_baal_taunt_1				46						baal taunt control												1	0		none												SQ	SQ	A1				1																						1																								1										3		45						45	Delay in poison clouds	3	Delay in lightning 													1								8																																					0
Baal Corpse Explode	285				141																				ln34																																																																		82																		1	0		none												SQ	SQ	S3				1																						1																								1																		1	% of base monster HP min damage	1	% of base monster HP max damage	6	radius (half squares) for damage	1	additional radius/level (half squares) for damage	40	Radius of search for corpses							1								8																																					0
Baal Monster Spawn	286													baal spawn monsters		1																																																													baal_summon																			baal spawn monsters													1	0		none												SQ	SQ	S3				1																						1																								1																																		1								8																																					0
Catapult Charged Ball	287				8												catapultchargedball																																																																										47						catapultchargedball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																		4	Charged bolts per level															1								8																																					0
Catapult Spike Ball	288				28												catapult spike ball																																																																										47						catapult spike ball				16	fall rate							1	0		none												SQ	SQ	A1				1																						1																								1																ln12		20	Spikes to launch	5	Spikes per level													1								8																																					0
Suck Blood	289			60	127																																																																																																								1	0		none												SQ	SQ	A1				1																						1																								1										par1	heal%							25	Percent life to boss															1								8		1						3																													0
Cry Help	290				128															curseattract																																																																																									1	0		none												SQ	SQ	S1				1																						1																																		ln12	duration							100	Time for minions to attack target	20	Time per level													1								8																																					0
Healing Vortex	291													healing vortex																																																																																		healing vortex													1	0		none												SQ	SQ	S2				1																						1																								1																																		1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0
Teleport 2	292				98																																																																																						48	73																	1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Self-resurrect	293			61																																																																																							38																		1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Vine Attack	294				130												plague vines						slowed			velocitypercent	-100																																																						druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49						vine beast attack	vines	vine beast walk 1	vine beast neutral	"min(12,ln12)"	#vines	35	delay	6	min dist between missiles			1	0		none												SQ	SQ	S1				1																						1																								1										"min(24,ln12)"	# missiles					20	frames to apply aura to target	3	Number of vines	1	vines per level													1								8																																					0
Overseer Whip	295				131																		bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																											suicideminion1			S1											33																																			1	0		none												SQ	SQ	A2				1																						1																								1										par1	chance							65	Chance Bloodlust	250	Bloodlust duration	80	Velocity change	80	Speed change	50	Armor change	100	Damage change					1								8																																					0
Barbs Aura	296				65																65795	barbscontrol	barbs		ln12	item_attackertakesdamage	edmn																																																																																		1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	50	thorns damage back	20	thorns damage back per level									1								8																15	8	16	28	44	64																0
Wolverine Aura	297				65																65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	25	% attack rating bonus	7	% attack rating bonus per lvl	20	% damage increase	7	% damage increase per level					1								8																																					0
Oak Sage Aura	298				65																65795	oaksagecontrol	oaksage		ln12	maxhp	ln34 * 256	hitpoints	edmn + (skill('Cycle of Life'.blvl) + skill('Vines'.blvl)) * 12																																																																																1	0		none												SQ	SQ	A1				1																						1																								1		1																30	Radius	2	radius per level	65	hitpoints	20	hitpoint bonus per level									1								8																12	4	4	5	5	5																0
Imp Fire Missile	299				132												impmiss21																																																												sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
Impregnate	300				133																																																							painworm1			NU																																														1	0		none												S1	S1	S1				1																						1																								1																			?		?		?		?		?		?					1								8																																					0
Siege Beast Stomp	301				134																				par5																																																															siege_beast_dust				75																		0		none												A2	A2	A2				1																						1																								1																		8	screen shake magnitude	5	screen shake bulid	20	screen shake duration	15	screen shake fade	25	radius of effect		?					1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0
MinionSpawner	302			62	135																																																																						spawnedminion																																		1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultBlizzard	303				28												catapult cold ball																																																																										47						catapult cold ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultPlague	304				28												catapult plague ball																																																																										47						catapult plague ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																			?		?		?		?		?		?					1								8																																					0
CatapultMeteor	305				28												catapult meteor ball								par1																																																																		47						catapult meteor ball				16	fall rate							1	0		none												A1	A1	A1																										1																								1																		5	radius of explosion		?	50	duration base	3	duration/level		?		?					1								8																																					0
BoltSentry	306				17												sentrychargedbolt																																																																											23					sentrychargedbolt												1	0		none												SC	SC	xx																										1																								1										ln12 + blvl/3	# bolts					par8 + skill('Lightning Sentry'.blvl)/4	shots fired	5	Bolts to send out	0	Bolts to send out per level											5	Shots Fired	1								8																																					0
CorpseCycler	307			67													recycler delay				73731				40																																																																		49		93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1															1																								1										ln12 + (skill('Oak Sage'.blvl)+skill('Vines'.blvl)) * par8 / 3	min heal	ln34 + (skill('Oak Sage'.blvl)+skill('Vines'.blvl)) * par8	max heal	6	heal stat (hp)			20	min heal	4	min heal per level	40	max heal	12	max heal per level							6	Synergy extra healing	1				5	2			8																																					0
DeathMaul	308				136												death mauler																																																																											76					death mauler	death mauler trail											1	0		none												A1	A1	xx																										1																								1										96	missile animrate								?		?		?		?		?		?					1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
Defense Curse	309				30																3		defense_curse	ln34	ln12	skill_armor_percent	-ln56																																																																18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	50	% defense	5	% defense/lvl					1																																													0
Blood Mana	310				30																3		blood_mana	ln34	ln12																																																																		18	30					curseeffectred		cursecast										1	0		none												SC	SC	S2																										1																								1																		3	radius	1	radius per level	200	duration	75	additional duration/level	40	Max hitpoints to remove curse							1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0
mon inferno sentry	311			53	95												inferno sentry 1																																																																										52	77					inferno sentry 1	inferno sentry 2			-37	z offset							1	0		none												SQ	SQ	xx																										1																								1										20	range	25	length of fire	3	density	par8	shots fired	5	frame length			20	range times two							4	damage synergy	5	Shots fired	1								8																																					0
mon death sentry	312				55																				ln34																																																														necromancer_corpseexp_1	death_sentry			50	78					corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1															1																								1										par1	damage %	par2	damage %	50	fire %	5	shots fired	3	% of base monster HP min damage	5	% of base monster HP max damage	30	radius (half squares)	0	additional radius/level (half squares)					6	damage synergy	5	Shots Fired	1								8		16	1	3	5	7	9	20	2	4	6	8	10	(skill('Charged Bolt Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * 6	fire	16	1	3	5	7	9	20	2	4	6	8	10	(skill('Charged Bolt Sentry'.blvl) + skill('Inferno Sentry'.blvl)) * 6									0
Sentry Chain Lightning	313				26												sentrychainlightningbolt	sentrychainlightningbolt	sentrychainlightningbolt						par7																																																																			27					sentrychainlightningbolt	sentrychainlightningbolt	sentrychainlightningbolt										1	0		none												SQ	SQ	xx																	1									1																								1										par4	# chains					par8	shots fired	10	minimum damage	20	max damage	4	increase in dam/level (min & max)	5	# chains					20	chain radius	10	Shots Fired	1								8																																					0
