skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
summon spirit wolf	1	3	2	1	0	6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	2	StrSkill21	StrSkill23	(par4 * lvl) + ln56		2	StrSkill22	StrSkill23	ln12		5	ESkillWolves		"min(lvl,par3)"		9			skill('Summon Grizzly'.ln12)												13			lvl*30		1															40	Sksyn	Skillname228	2		63	Skillname222	Damplev	6		63	Skillname238	Damplev	6		63	Skillname248	Damplev	6		63	Skillname224	Damplev	6												0
wearbear	2	1	3	2	0	22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	2	StrSkill21	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln12		2	StrSplashRadius	StrSkill23	20		3	StrSkill76	StrSkill23	ln78												2	StrSkill10	StrSkill23	skill('Shape Shifting'.ln12)							2	StrSkill42	StrSkill23	skill('Shape Shifting'.ln34)		1					40	Sksyn	Skillname229	2		18	Skillname225																													0
molten boulder	3	2	1	3	0	34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													moltenboulderfirepath			1					22					10					9																																			40	Sksyn	Skillname230	2		63	Skillname235	Damplev	par8		63	Skillname245	Damplev	par8		63	Skillname250	Damplev	par8																	0
arctic blast	3	1	3	3	0	36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		"min(ln12/4, 21)"		11					26															5	StrSkill115		par3																	40	Sksyn	Skillname231	2		63	Skillname251	Colddplev	par7		63	Skillname246	Colddplev	par8		63	Skillname241	Colddplev	par8		63	Skillname236	Colddplev	par8												0
cycle of life	1	3	3	1	0	8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					47	StrSkill50	StrSkill23	(par4 + par5*lvl) + (skill('Oak Sage'.blvl)+skill('Vines'.blvl)) * par8 / 3	(par6 + par7*lvl) + (skill('Oak Sage'.blvl)+skill('Vines'.blvl)) * par8	13			(lvl-1)*par3																																					40	Sksyn	Skillname232	2		52	StrOakSynergy	StrLifeHealed	par8/2	par8	52	StrSolarSynergy	StrLifeHealed	par8/2	par8																					0
feral rage	2	2	1	2	0	54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln56 + skill('Fury'.blvl) * 10		52	EskillLifeSteal	StrSkill23	1	"min(par2 * lvl / 2+ 4,10)"	52	StrSkill89	StrSkill23	20	dm34	52	IncSplashRadius	StrSkill23	2	"min(2 * lvl,20)"						12	StrSkill20		par1		1															40	Sksyn	Skillname233	2		63	Skillname249	Damplev	8																											0
maul	2	2	3	2	0	56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				2	StrSkill22	StrSkill23	toht		52	StrSkill4	StrSkill23	par3	par3 * (lvl/par7+par8)	12	StrSkill48		((par5 + ((blvl - 1) * - par6))<5)?par6:(par5 + ((blvl - 1) * - par6))																	12	StrSkill20		par4		1																																																		0
eruption	3	3	1	3	0	38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													erruption center			23	StrSkill20				10																									1																				40	Sksyn	Skillname235	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8																						0
cyclone armor	3	2	3	3	0	40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					3	StrSkill40	StrSkill41	(stat('energy'.accr) * 3) + edmx																																										40	Sksyn	Skillname236	2		18	EnergyAbsorb																													0
heart of wolverine	1	2	1	1	0	10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill22	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56		13			(lvl-1)*par1																																																														0
summon fenris	1	5	2	1	0	12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	2	StrSkill42	StrSkill23	ln12		5	ESkillWolves		"min(lvl,par3)"		9			skill('Summon Grizzly'.ln12)		13			ln12												2	StrSkill21	StrSkill23	(par6 * lvl)		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		1										40	Sksyn	Skillname238	2		63	Skillname222	Damplev	4		63	Skillname228	Damplev	4		63	Skillname228	AttRateplev	skill('Summon Spirit Wolf'.par2)		63	Skillname248	Damplev	4		63	Skillname224	Damplev	4							0
rabies	2	4	1	2	0	24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				14					2	StrSkill22	StrSkill23	toht																						1																				40	Sksyn	Skillname239	2		63	Skillname223	Poisdplev	par8		63	Skillname225	Poisdplev	par8		63	Skillname233	Poisdplev	par8																	0
fire claws	2	5	2	2	0	26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	9												1				1					2	StrSkill22	StrSkill23	toht		27					9																																			40	Sksyn	Skillname240	2		63	Skillname225	Firedplev	par8		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname250	Firedplev	par8												0
twister	3	3	2	3	0	42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																9					5	StrTwisters		"min(ln34 / 2, par5)"																						1					12	StrSkill48		par2												40	Sksyn	Skillname241	2							63	Skillname251	Damplev	par8		63	Skillname246	Damplev	par8		63	Skillname231	Damplev	par7												0
vines	1	5	3	1	0	14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					47	StrManaHeal		(par4 + par5*lvl) + (skill('Oak Sage'.blvl)+skill('Cycle of Life'.blvl)) * par8 / 3	(par6 + par7*lvl) + (skill('Oak Sage'.blvl)+skill('Cycle of Life'.blvl)) * par8						13			(lvl-1)*par3																																40	Sksyn	Skillname242	2		52	StrOakSynergy	StrManaHealed	par8/3	par8	52	StrCarrionSynergy	StrManaHealed	par8/3	par8																					0
hunger	2	3	2	2	0	58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3																	1					7	StrCritStrikeChance		dm12		6	StrPercentMoveSpeed		par4 + lvl		12	StrSkill20		475+(lvl*25)												3	EskillLifeSteal	StrSkill23	par3 + blvl / 4		18	StrHungerLifeSteal																																																	0
shock wave	2	4	3	2	0	28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					10					9					7	ShockWaves		4+(lvl/5)		12	StrSkill48		ln12							18	StrExtraShockWave																			40	Sksyn	Skillname244	2		63	Skillname229	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8																	0
volcano	3	5	1	3	0	44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname245	2		63	Skillname230	Damplev	par8		63	Skillname235	Damplev	par8		63	Skillname250	Damplev	par8																	0
tornado	3	5	2	3	0	46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname246	2		63	Skillname231	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname251	Damplev	par8																	0
spirit of barbs	1	4	1	1	0	4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		ln78		3	StrReturns	StrDmgToAtt	edmn		13			(lvl-1)*par1																																																																			0
summon grizzly	1	6	2	1	0	18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	2	StrSkill4	StrSkill23	ln12		9			ln12																						2	StrSkill21	StrSkill23	lvl*10		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		13			lvl*2		1					40	Sksyn	Skillname248	2		63	Skillname222	Damplev	par6		63	Skillname228	AttRateplev	skill('Summon Spirit Wolf'.par2)		63	Skillname228	Damplev	par6		63	Skillname238	Damplev	par6		63	Skillname229	Damplev	par6							0
fury	2	6	1	2	0	30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34 + skill('Feral Rage'.blvl)*par8											2				1					2	StrSkill4	StrSkill23	ln34 + skill('Feral Rage'.blvl)*par8		2	StrSkill30	StrSkill23	toht		7	StrSkill11		"min((par5+lvl-1),par6)"																																40	Sksyn	Skillname249	2		63	Skillname233	Damplev	par8																											0
armageddon	3	6	1	3	0	50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													armageddonfire			22					10					9																				1					19	StrSkill18		par3		12	StrSkill20		ln12							40	Sksyn	Skillname250	2		63	Skillname230	Firedplev	par8		63	Skillname245	Firedplev	par8																						0
hurricane	3	6	2	3	0	48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																10																														1					19	StrSkill18		par3		12	StrSkill20		ln12 							40	Sksyn	Skillname251	2		63	Skillname231	Damplev	par8		63	Skillname246	Damplev	par8																						0
fire trauma	1	1	2	1	0	0	Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									5	StrSkillBombs		par1+blvl/par2		18	StrIncreasedBombs														40	Sksyn	Skillname252	2		63	Skillname257	Firedplev	par8		63	Skillname262	Firedplev	par8		63	Skillname272	Firedplev	par8		63	ChainLtngSentry	Firedplev	par8		63	Skillname263	Firedplev	par8		63	Skillname273	Firedplev	par8		0
claw mastery	2	1	2	2	0	20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
psychic hammer	2	1	3	2	0	22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9					5	StrNearbyEnemies		"min(2+(lvl/10), 6)" - 1																											40	Sksyn	Skillname254	2		63	Skillname274	Damplev	par8		63	Skillname265	Damplev	par8		63	Skillname269	Damplev	par8																	0
tiger strike	3	1	2	3	0	40	Skillname255	Skillsd255	ChargeUpSkillDesc2	Skillan255	StrSkill3	25	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillsplash3	3*ln12		2	Eskillpowerup2	Eskillsplash2	2*ln12		2	Eskillpowerup1	Eskillpuddgmper	ln12																																																														0
dragon talon	3	1	3	3	0	42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15	clc2											5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12 + (skill('Dragon Tail'.blvl)+ skill('Dragon Flight'.blvl))*par8		36	EskillKickSing	EskillKickPlur	"min(lvl/6+1, 3)"																																40	Sksyn	Skillname256	2		63	Skillname271	Damplev	par8		63	Skillname276	Damplev	par8																						0
shock field	1	2	1	1	0	2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	8													shock field on ground			1					26					23	StrSkill20				5	ESkillSpikes		par1+lvl/par2																																40	Sksyn	Skillname257	2		63	Skillname262	Ltngdplev	par8		63	Skillname263	Ltngdplev	par8		63	ChainLtngSentry	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname273	Ltngdplev	par8		0
blade sentinel	1	2	3	1	0	4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																73	WeapDamsk		3	4	9					12	StrSkill20		ln12																	1																				40	Sksyn	Skillname258	2		63	Skillname267	Damplev	par8		63	Skillname278	Damplev	par8																						0
quickness	2	2	1	2	0	36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		ln56		2	StrSkill89	StrSkill23	edln																	2	StrSkill106	StrSkill23	((110*blvl) * (par4-par3))/(100 * (blvl+6)) + par3		18	StrBOSAtkSpd																																																	0
fists of fire	3	2	1	3	0	44	Skillname260	Skillsd260	ChargeUpSkillDesc	Skillan260	StrSkill3	25			fire	enma+m1eo*50/256	exma+m1ey*50/256	fire	m2en	m2ex	fire	m3en	m3ex	2	fistsoffirefirewall	fistsoffirenova	fofmeteor	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillfistsoffire3	m3en * 2	m3ex * 2	62	Eskillpowerup2	Eskillfistsoffire2	m2en	m2ex	24	Eskillfistsoffire1	Eskillpowerup1																												40	Sksyn	Skillname260	2		63	Skillname255	Damplev	par8		63	Skillname281	Damplev	par8																						0
dragon claw	3	2	3	3	0	46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12 + (skill('Claw Mastery'.blvl)) * par8																																					40	Sksyn	Skillname261	2		63	Skillname253	Damplev	par8		63	Skillname264	Damplev	par8																						0
charged bolt sentry	1	3	1	1	0	6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3	5																10																														1					5	StrBolts		ln34 + blvl/3												40	Sksyn	Skillname262	2		63	Skillname252	Ltngdplev	par7		63	Skillname272	Ltngdplev	par7		63	ChainLtngSentry	Ltngdplev	par8																	0
wake of fire sentry	1	3	2	1	0	8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname263	2		63	Skillname252	Firedplev	par8		63	Skillname273	Firedplev	par8																						0
weapon block	2	3	2	2	0	26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		dm12																																																																																		0
cloak of shadows	2	3	3	2	0	24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	2	StrSkill25	StrSkill23	"-min(ln56,95)"		2	StrSkill31	StrSkill23	ln78 / 2		12	StrSkill20		ln34																	1					19	StrSkill56		dm12																																															0
cobra strike	3	3	2	3	0	50	Skillname266	Skillsd266	ChargeUpSkillDesc	Skillan266	StrSkill3	25			pois	(((miss('cobrastrikepoisonbolt'.edns) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	(((miss('cobrastrikepoisonbolt'.edxs) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256				pois	(((miss('cobrastrikepoisoncloud'.edns) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	(((miss('cobrastrikepoisoncloud'.edxs) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	1	cobrastrikepoisonbolt		cobrastrikepoisoncloud	1					2	StrSkill22	StrSkill23	toht		38	Eskillpoison3	Eoveronesecond	(((miss('cobrastrikepoisoncloud'.edns) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	(((miss('cobrastrikepoisoncloud'.edxs) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	2	Eskillpowerup2	Eskillpudmana	ln12		38	Eskillpoison1	Eoveronesecond	(((miss('cobrastrikepoisonbolt'.edns) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256	(((miss('cobrastrikepoisonbolt'.edxs) * (100+stat('passive_pois_mastery'.accr))) / 100) * 25) / 256																										40	Sksyn	Skillname266	2		63	Skillname279	Poisdplev	12																											0
blade fury	1	4	3	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	24												1				61	StrSkill3	EskillPerBlade	usmc	10	73	WeapDamsk		1	2	9					2	StrSkill22	StrSkill23	toht												5	StrSkill115		par3																	40	Sksyn	Skillname267	2		63	Skillname258	Damplev	par8		63	Skillname278	Damplev	par8																						0
fade	2	4	1	2	0	30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrPhysDmgRed	StrSkill23	ln78 / 2		3	StrSkill85	StrSkill23	"min(ln34, 20)"																																																														0
shadow warrior	2	4	2	2	0	38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
claws of thunder	3	4	1	3	0	58	Skillname270	Skillsd270	ChargeUpSkillDesc	Skillan270	StrSkill3	25			ltng	enma	exma	ltng	m2en	m2ex	ltng	m3en	m3ex	2		clawsofthundernova	clawsofthunderbolt	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
dragon tail	3	4	3	3	0	48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillfistsoffire1	StrSkill23	ln12 + skill('Dragon Talon'.blvl)*par8																	19	StrSkill18		par3																	40	Sksyn	Skillname271	2		63	Skillname256	Damplev	par8		63	Skillname276	Damplev	par8																						0
chain lightning sentry	1	6	1	1	0	60	ChainLtngSentry	ChainLtngSentrySD	ChainLtngSentryLD	ChainLtngSentryS	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	5																	40	Sksyn	ChainLtngSentry	2		63	Skillname252	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8																	0
inferno sentry	1	5	2	1	0	14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					59	StrSkill5		enms*25/768	exms*25/768																					3	ESkillShoots	ESkillTimes	5																	40	Sksyn	Skillname273	2		63	Skillname252	Firedplev	par7		63	Skillname263	Firedplev	par8																						0
mind blast	2	4	3	2	0	34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																1					9																									19	StrSkill18		"min(par7 + blvl / 2, 8)"		12	StrSkill48		"min(max(edln, 0), 50)"												40	Sksyn	Skillname274	2		63	Skillname254	Damplev	par8		63	Skillname265	Damplev	par8		63	Skillname269	Damplev	par8																	0
blades of ice	3	5	1	3	0	52	Skillname275	Skillsd275	ChargeUpSkillDesc	Skillan275	StrSkill3	25			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1					2	StrSkill22	StrSkill23	toht		12	Eskillbladesofice3	Eskillpowerup3	edln		19	Eskillbladesofice2	Eskillpowerup2	par1		24	Eskillbladesofice1	Eskillpowerup1	par1																											40	Sksyn	Skillname275	2		63	Skillname281	Colddplev	par8																											0
dragon flight	3	5	3	3	0	54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15	clc2											5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12																																																																								0
death sentry	1	6	2	1	0	16	Skillname277	Skillsd277	Skillld277	Skillan277	StrSkill3	5																1					10					9					37	StrSkill18		skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)												3	ESkillShoots	ESkillTimes	par1 		38	Corexpdam	StrSkill46	skill('mon death sentry'.par1)	skill('mon death sentry'.par2)											40	Sksyn	Skillname277	2		63	Skillname252	Damplev	par8		63	Skillname273	Damplev	par8																						0
blade shield	1	5	3	1	0	18	Skillname278	Skillsd278	Skillld278	Skillan278	StrSkill3	5																1					12	StrSkill20		ln12		73	WeapDamsk		1	4	9																																			40	Sksyn	Skillname278	2		63	Skillname258	Damplev	par8		63	Skillname267	Damplev	par8																						0
venom	2	6	1	2	0	28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		ln12		14																																								40	Sksyn	Skillname279	2		63	Skillname266	Poisdplev	par8																											0
shadow master	2	6	2	2	0	32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1					2	StrSkill54	StrSkill23	((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
royal strike	3	6	2	3	0	56	Skillname281	Skillsd281	ChargeUpSkillDesc	Skillan281	StrSkill3	25			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillphoenix3	m3en	m3ex	62	Eskillpowerup2	Eskillphoenix2	m2en	m2ex	38	StrSkill83	StrSkill34	miss('royalstrikemeteorfire'.edns)*75/256	miss('royalstrikemeteorfire'.edxs)*75/256	62	Eskillpowerup1	Eskillphoenix1	m1en	m1ex																					40	Sksyn	Skillname281	2		63	Skillname260	Firedplev	10		63	Skillname260	AFDImm	10		63	Skillname270	Ltngdplev	14		63	Skillname275	Colddplev	14												0
delerium change	0	0	0	0	0	2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
blink	0	0	0	0	0	20	Blink	BlinkShortDesc	BlinkShortDesc	Blink	StrSkill3																	1																																																																																					0
battleorderscta	0	0	0	0	0	46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrSkill23	ln34/2		3	StrSkill100	StrSkill23	ln34/2		3	StrSkill102	StrSkill23	ln34/2		12	StrSkill20		len																											40	Sksyn	skillname149	2		67	skillname138	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
holy nova	1	6	2	1	0	60	HolyNova	HolyNovaShortDesc	HolyNovaLongDesc	HolyNova	StrSkill3	5																1					47	StrSkill50		ln12 + (skill('Prayer'.blvl) + skill('Holy Light'.blvl)) * par7	ln12 + (skill('Prayer'.blvl) + skill('Holy Light'.blvl)) * par7	10																																								40	Sksyn	HolyNova	2		67	skillname99	Healplev	par7		67	HolyLight	Healplev	par7		63	skillname101	Magdplev	par8		63	skillname121	Magdplev	par8												0
holy light	1	3	2	1	0	62	HolyLight	HolyLightShortDesc	HolyLightLongDesc	HolyLight	StrSkill3																	1					47	StrSkill50		ln12 + (skill('Prayer'.blvl) * par6)	ln34 + (skill('Prayer'.blvl) * par7)	10																																								40	Sksyn	HolyLight	2		18	Holylightheal																													0
ice barrage	3	5	2	3	0	60	IceBarrage	IceBarrageShortDesc	IceBarrageLongDesc	IceBarrage	StrSkill3	5																1					7	IceLances		par5+(min(blvl/3,par6))		10																				19	StrSkill18		ln12																	40	Sksyn	IceBarrage	2		63	skillname39	Colddplev	par8		63	skillname55	Colddplev	par8																						0
shattering arrow	0	0	0	0	0	2	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		par1																	40	Sksyn	skillname31	2		63	skillname11	Colddplev	par8		63	skillname21	FrezLenplev	par7																						0
gust	3	4	3	3	0	60	Gust	GustShortDesc	GustLongDesc	Gust	StrSkill3																	1					12	StrCooldown		"max(163 - (lvl * 5 + stat('gustreduction'.accr)), 13)"																																																																													0
blood warp	3	5	1	3	0	60	BloodWarp	BloodWarpShortDesc	BloodWarpLongDesc	BloodWarp	StrSkill3																	1					3	StrMinLifeCost	StrFlatLife	"min(ln34,60)"		3	StrLifeCost	StrPercentMaxHP	12 - stat('blood_warp_life_reduction'.accr)		12	StrCooldown		"max(150 - lvl * 5, 0)"																																																																			0
cold enchant	3	1	3	1	0	62	ColdEnchant	ColdEnchantShortDesc	ColdEnchantLongDesc	ColdEnchant	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		"min(ln12, 7500)"																																40	Sksyn	ColdEnchant	2		63	skillname60	Colddplev	par8																											0
combustion	1	5	2	1	0	64	Combustion	CombustionShortDesc	CombustionLongDesc	Combustion	StrSkill3	5													combustion			1					11					10					9					8																														40	Sksyn	Combustion	2		63	skillname36	Firedplev	par8		63	skillname47	Firedplev	par8																						0
lesser hydra	1	3	3	1	0	66	LesserHydra	LesserHydraShortDesc	LesserHydraLongDesc	LesserHydra	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	skillname62	2		63	skillname36	Firedplev	par7		63	skillname62	Firedplev	par8																						0
desecrate	2	3	1	2	0	34	Desecrate	DesecrateShortDesc	DesecrateLongDesc	Desecrate	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		63	skillname73	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
curse mastery	1	1	3	3	0	62	CurseMastery	CurseMasteryShortDesc	CurseMasteryLongDesc	CurseMastery	StrSkill3																																															5	StrMaxCurses		1 + stat('max_curses'.accr)																																																				0
dark pact	1	2	1	2	0	64	DarkPact	DarkPactShortDesc	DarkPactLongDesc	DarkPact	StrSkill3	5																1					59	StrPerCurse	StrMagDmg	edmn	edmx	2	DpBonus	StrSkill23	10		2	DpBonus2	StrSkill23	33		19	StrSkill18		par1 + skill('CurMas'.blvl) / 3																											40	Sksyn	DarkPact	2		42	CurseMastery	StrIncRadiusplev	0	6	63	CurseMastery	Magdplev	par8		63	skillname76	Magdplev	18		63	StrAllCurses	Magdplev	par7												0
joust	1	5	1	1	0	64	Joust	JoustShortDesc	JoustLongDesc	Joust	StrSkill3	7	clc1											2				1					2	StrCritStrike	StrSkill24	clc2		2	StrSkill30	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		2	StrSkill89	StrSkill23	"min(3 + (2 * lvl), 65)"							12	StrCooldown		"max(88 - ((blvl * 5) / 2 + stat('joustreduction'.accr)), 38)"							18	StrJoustReducedCd																																												0
lesser fade	0	0	0	2	0	2	LesserFade	Skillsd268	Skillld268	LesserFade	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrSkill85	StrSkill23	dm34																																																																			0
lightning sentry	1	5	1	1	0	12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname272	2		63	Skillname252	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	ChainLtngSentry	Ltngdplev	par8																	0
force move	0	0	0	0	0	24	ForceMove	ForceMoveShort	ForceMoveLong	ForceMove																																																																																																							0
amplify damage proc	0	0	0	0	0	25	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3																	2	StrPhysDmgResist	StrSkill23	-(par5 + par6*lvl)		18	StrAmpDmgPhysRes														40	Sksyn	skillname66	2		63	CurseMastery	StrRedPhysDmgResplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
weaken proc	0	0	0	0	0	26	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3		3	StrSkill38	StrSkill23	-(ln56)																																40	Sksyn	skillname72	2		63	CurseMastery	StrRedDmgplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
